target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
aaa|atg|0.8767176854223622|0.9985741088986654|0.631578947368421|1.0|ikk|0.719876893130441|0.9954089661764426|0.5|0.6642217132148803|nin|0.6971531171031043|0.9827931936499883|0.4444444444444444|0.6642217132148803|mkl|0.6722437012433481|0.9730729776277816|0.4444444444444444|0.5992136816578182|kdl|0.6617498282202819|0.9850300047607674|0.42105263157894735|0.579166848321131
aab|nin|0.7808304058584653|0.9994298754293012|0.5555555555555556|0.787505786590539|ikk|0.7138929377086655|0.9808004809809674|0.5|0.660878332145029|atg|0.6799684306801282|0.9834689879911304|0.42105263157894735|0.6353836724703068|mkl|0.6696074194993548|0.967841947930892|0.4444444444444444|0.5965358661227277|ibo|0.6617877399230494|0.9746599476814023|0.5|0.510703272087746
aac|ata|0.7453815007047718|0.9504302164000298|0.2857142857142857|1.0|geb|0.7192382651680364|0.9758966136859272|0.18181818181818182|1.0|gai|0.7189633172896892|0.9750717700508856|0.18181818181818182|1.0|msy|0.7141036156770584|0.9756441803645082|0.16666666666666666|1.0|byr|0.6444974095163832|0.9802439429779992|0.2|0.7532482855711504
aad|ata|0.581827995300784|0.9490754842269193|0.4|0.3964085016754325|urt|0.5791097218126674|0.9949477996565363|0.2857142857142857|0.4566670800671804|yva|0.5651658605448823|0.9657557466258809|0.3333333333333333|0.3964085016754325|ipi|0.5580304795504026|0.9902497259504387|0.25|0.4338417127007691|kyc|0.5565006776377325|0.9856603202124286|0.25|0.4338417127007691
aae|lat|0.64724960654152|0.9754394907424254|0.42857142857142855|0.5377379003107059|grc|0.6288922951636516|0.9770597090154961|0.46153846153846156|0.448078714936997|lvs|0.6269630211760576|0.8959830977781991|0.46153846153846156|0.5233675042115122|bel|0.6148345544816699|0.9134826214941018|0.46153846153846156|0.4694825804124465|mkd|0.5980145208231463|0.9737719299639922|0.4|0.42027163250544675
aaf|mal|0.8202276457951115|0.9889129647389724|0.9166666666666666|0.5551033059796956|tam|0.8175137915874054|0.9828116986189617|0.8|0.6697296761432547|kan|0.6577247359951818|0.9875131617825804|0.47619047619047616|0.5094705700124886|tel|0.603506415418632|0.9677153429100741|0.3333333333333333|0.5094705700124886|mjl|0.5261545225221081|0.8880536297063675|0.1|0.590409937859957
aag|urt|0.6662405104134055|0.9987215312402165|0.0|1.0|ata|0.6200480388193262|0.9516636604218276|0.2857142857142857|0.6227661703218654|apr|0.599261226626416|0.9730875664077413|0.11764705882352941|0.7070490546479773|met|0.5992202772665546|0.972964718328157|0.11764705882352941|0.7070490546479773|amk|0.5985467648245181|0.9651258219074377|0.11764705882352941|0.7128674137425872
aah|urt|0.8481370641341178|0.9989566469478081|0.5454545454545454|1.0|ata|0.5994586181990805|0.9533874620531541|0.2222222222222222|0.6227661703218654|apr|0.5956410516548266|0.9746109424217656|0.10526315789473684|0.7070490546479773|met|0.5955269203090056|0.9742685483843028|0.10526315789473684|0.7070490546479773|bzh|0.5947953120079438|0.9715185222812441|0.1|0.7128674137425872
aai|mox|0.9307129896397139|0.9921389689191416|0.8|1.0|tte|0.912381444173657|0.9871443325209709|0.75|1.0|mpx|0.8819851740401857|0.9792888554538907|0.6666666666666666|1.0|tgo|0.8800026767640133|0.973341363625373|0.6666666666666666|1.0|met|0.7133468859524302|0.9777713235762585|0.56|0.6022693342810325
aak|byr|0.8660980973387984|0.9982942920163951|0.6|1.0|ata|0.6694481497260422|0.9693818778926904|0.2857142857142857|0.7532482855711504|agg|0.6417761542486572|0.9682794080979945|0.25|0.7070490546479773|geb|0.6392810302853121|0.982776623466604|0.18181818181818182|0.7532482855711504|gai|0.6389832449482961|0.9818832674555559|0.18181818181818182|0.7532482855711504
